# D_loss, G_loss
1.388588547706604004e+00,6.527636647224426270e-01
1.405431032180786133e+00,6.566777825355529785e-01
1.380718708038330078e+00,6.600522994995117188e-01
1.370544791221618652e+00,6.575216054916381836e-01
1.373297810554504395e+00,6.592966318130493164e-01
1.375244379043579102e+00,6.604318618774414062e-01
1.368793249130249023e+00,6.542440056800842285e-01
1.376093387603759766e+00,6.556870937347412109e-01
1.380554318428039551e+00,6.603015661239624023e-01
1.369675517082214355e+00,6.610910892486572266e-01
1.385339021682739258e+00,6.579293012619018555e-01
1.365097045898437500e+00,6.530779004096984863e-01
1.373693346977233887e+00,6.495503187179565430e-01
1.370738983154296875e+00,6.641333699226379395e-01
1.365680336952209473e+00,6.561414599418640137e-01
1.372367858886718750e+00,6.589915752410888672e-01
1.380683422088623047e+00,6.523062586784362793e-01
1.381851077079772949e+00,6.536923646926879883e-01
1.383830547332763672e+00,6.621240973472595215e-01
1.369781970977783203e+00,6.539177894592285156e-01
1.380615234375000000e+00,6.533309221267700195e-01
1.378693580627441406e+00,6.526469588279724121e-01
1.387390732765197754e+00,6.559432744979858398e-01
1.372124433517456055e+00,6.587525606155395508e-01
1.367483615875244141e+00,6.524069309234619141e-01
1.380154132843017578e+00,6.529766321182250977e-01
1.376911640167236328e+00,6.585954427719116211e-01
1.368004322052001953e+00,6.568983793258666992e-01
1.384318232536315918e+00,6.590662002563476562e-01
1.368256092071533203e+00,6.606890559196472168e-01
1.368005275726318359e+00,6.629480719566345215e-01
1.371516823768615723e+00,6.567705869674682617e-01
1.367266893386840820e+00,6.562627553939819336e-01
1.396692991256713867e+00,6.364560127258300781e-01
1.399439215660095215e+00,6.450412869453430176e-01
1.367396593093872070e+00,6.495715379714965820e-01
1.381119489669799805e+00,6.519451141357421875e-01
1.385077834129333496e+00,6.493746042251586914e-01
1.369194507598876953e+00,6.516088843345642090e-01
1.388126134872436523e+00,6.469177007675170898e-01
1.365630984306335449e+00,6.634666919708251953e-01
1.371670722961425781e+00,6.508773565292358398e-01
1.377198696136474609e+00,6.498926877975463867e-01
1.376044034957885742e+00,6.565830707550048828e-01
1.368116378784179688e+00,6.504703760147094727e-01
1.370467662811279297e+00,6.494016647338867188e-01
1.401439905166625977e+00,6.472269296646118164e-01
1.378721714019775391e+00,6.482399702072143555e-01
1.373418807983398438e+00,6.560574173927307129e-01
1.386839151382446289e+00,6.511611342430114746e-01
1.375094294548034668e+00,6.598962545394897461e-01
1.368432521820068359e+00,6.626281738281250000e-01
1.355685472488403320e+00,6.615698337554931641e-01
1.365102052688598633e+00,6.572874188423156738e-01
1.375383019447326660e+00,6.565139293670654297e-01
1.373300790786743164e+00,6.615122556686401367e-01
1.367519140243530273e+00,6.540940999984741211e-01
1.379585504531860352e+00,6.480268239974975586e-01
1.367706775665283203e+00,6.510607004165649414e-01
1.361753702163696289e+00,6.600327491760253906e-01
1.375097990036010742e+00,6.431038975715637207e-01
1.386097908020019531e+00,6.649674177169799805e-01
1.367371320724487305e+00,6.498711109161376953e-01
1.374269247055053711e+00,6.544527411460876465e-01
1.371891379356384277e+00,6.519021987915039062e-01
1.385807991027832031e+00,6.504695415496826172e-01
1.381494045257568359e+00,6.556904315948486328e-01
1.392997145652770996e+00,6.396976709365844727e-01
1.391068816184997559e+00,6.490358710289001465e-01
1.384967684745788574e+00,6.476548910140991211e-01
1.375344038009643555e+00,6.421035528182983398e-01
1.383089542388916016e+00,6.518992185592651367e-01
1.396423697471618652e+00,6.450387239456176758e-01
1.397054672241210938e+00,6.383581757545471191e-01
1.385179042816162109e+00,6.439626216888427734e-01
1.394755840301513672e+00,6.289574503898620605e-01
1.368186950683593750e+00,6.455612778663635254e-01
1.394647836685180664e+00,6.467287540435791016e-01
1.385915994644165039e+00,6.439695358276367188e-01
1.401571035385131836e+00,6.373462677001953125e-01
1.383490800857543945e+00,6.416902542114257812e-01
1.398258447647094727e+00,6.414163112640380859e-01
1.373191833496093750e+00,6.434249877929687500e-01
1.383665561676025391e+00,6.384649872779846191e-01
1.384666681289672852e+00,6.423740983009338379e-01
1.370646476745605469e+00,6.452778577804565430e-01
1.385427713394165039e+00,6.442754268646240234e-01
1.375727057456970215e+00,6.471571922302246094e-01
1.395468235015869141e+00,6.352712512016296387e-01
1.375852584838867188e+00,6.474907398223876953e-01
1.376230239868164062e+00,6.431951522827148438e-01
1.395548105239868164e+00,6.457800865173339844e-01
1.384032845497131348e+00,6.437622308731079102e-01
1.373522758483886719e+00,6.510732173919677734e-01
1.383852720260620117e+00,6.348011493682861328e-01
1.378640174865722656e+00,6.458660960197448730e-01
1.380128979682922363e+00,6.377735137939453125e-01
1.393217563629150391e+00,6.443700790405273438e-01
1.388469934463500977e+00,6.432287693023681641e-01
1.381055831909179688e+00,6.437862515449523926e-01
1.385850429534912109e+00,6.398621201515197754e-01
1.382007122039794922e+00,6.453617811203002930e-01
1.399214148521423340e+00,6.376349329948425293e-01
1.372607469558715820e+00,6.453796625137329102e-01
1.391499042510986328e+00,6.287606954574584961e-01
1.394938945770263672e+00,6.401196718215942383e-01
1.403264999389648438e+00,6.360512971878051758e-01
1.399790763854980469e+00,6.285136938095092773e-01
1.402756214141845703e+00,6.386129856109619141e-01
1.387200951576232910e+00,6.356056928634643555e-01
1.394665002822875977e+00,6.413768529891967773e-01
1.406563282012939453e+00,6.298312544822692871e-01
1.398649215698242188e+00,6.330506801605224609e-01
1.379159808158874512e+00,6.330679059028625488e-01
1.396875500679016113e+00,6.380154490470886230e-01
1.393288612365722656e+00,6.460541486740112305e-01
1.388603568077087402e+00,6.428304910659790039e-01
1.388894319534301758e+00,6.263007521629333496e-01
1.404478907585144043e+00,6.373927593231201172e-01
1.389062285423278809e+00,6.381239891052246094e-01
1.388080358505249023e+00,6.323098540306091309e-01
1.382244586944580078e+00,6.416739225387573242e-01
1.392165541648864746e+00,6.309978365898132324e-01
1.392344117164611816e+00,6.347102522850036621e-01
1.401920318603515625e+00,6.340363025665283203e-01
1.367820262908935547e+00,6.430380344390869141e-01
